,title,company,rating,CITY,state,salary_year_mean
482,Sr. Data Analyst With Drools and Canonical model experience,XFORIA Inc,,Richmond,VA,136500.0
483,Data Scientist,RISIRISA,,New York,NY,
484,Data Scientist,Clearcover,,Illinois,IL,
485,Predictive Modeler,Lancer Insurance Company,,Remote,REMOTE,100000.0
486,Data Scientist,Raditech LLC,,Edison,NJ,140500.0
487,Enterprise Data Scientist,Arvest,3.7,Bentonville,AR,
488,Data Scientist,"ATCS, P.L.C.",4.4,Herndon,VA,
489,Data Scientist,Codoxo,,Atlanta,GA,
490,Data Scientist,Quantifind,,Menlo Park,CA,
491,Data Scientist,IFG Companies,3.1,Atlanta,GA,
492,"Data Scientist, Game / Social Analytics",Niantic,,Sunnyvale,CA,
493,Data Scientist,FT Optimize,,Half Moon Bay,CA,
494,Data & Applied Scientist,Microsoft,4.2,Bellevue,WA,
495,Data Scientist,DIGITAL MEDIA SOLUTIONS LLC,2.8,Remote,REMOTE,
496,"Data Scientist, Facebook Reality Labs",Facebook,4.2,Remote,REMOTE,
497,Data Scientist Intern,Equifax,3.5,Boise,ID,
